Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
15027733,IES de Arzúa,Rúa do Castro s/n,Arzúa,A Coruña,15810,881866047,IES,42.929825,-8.155364,Pública,Non,Si
15027745,CEE A Barcia,A Barcia s/n,Santiago de Compostela,A Coruña,15896,981537401,CEE,42.876465,-8.587956,Pública,Non,Si
15027757,CEEPR Aspanaes,Rúa O CATECISMO 7,A Coruña,A Coruña,15008,981293552,CEEPR,43.330467,-8.406593,Privada,Si,Non
15027769,EMUSPR de Calo -Teo,Rebordelo s/n,Teo,A Coruña,15895,981548379,EMUSPR,42.82535,-8.5931225,Privada,Non,Non
15027770,IES A Sardiñeira,Avenida da Sardiñeira 41,A Coruña,A Coruña,15008,881960150,IES,43.34991,-8.41622,Pública,Non,Si
15027782,IES Ordes,Rúa Mestre Nicolas del Rio s/n,Ordes,A Coruña,15680,881960334,IES,43.074024,-8.403119,Pública,Non,Si
15027800,CIFP Imaxe e Son,Rúa Someso 6,A Coruña,A Coruña,15008,981173181,CIFP,43.338238,-8.413854,Pública,Non,Si
15027812,ESCO Oficial Náutico-Pesqueira,Rúa dos Estudantes 7,Ribeira,A Coruña,15960,881866317,ESCO,42.56958,-8.980079,Pública,Non,Non
15027824,EMUSPR de Visantoña,Gandareira s/n,Santiso,A Coruña,15808,981510711,EMUSPR,42.873802,-8.099284,Privada,Non,Non
15027848,CRA Nosa Señora do Faro,Rúa r/ do Concello 14,Ponteceso,A Coruña,15110,881960970,CRA,43.24367,-8.901157,Pública,Non,Si
15027851,IES Plurilingüe A Cachada,Avenida Municipalidade de Avellaneda s/n,Boiro,A Coruña,15930,881866717,IES,42.644093,-8.886287,Pública,Non,Si
15027861,IES Plurilingüe Pedra da Aguia,Rúa Curros s/n,Camariñas,A Coruña,15121,881880294,IES,43.14338,-9.110176,Pública,Non,Si
15027873,IES Afonso X O Sabio,Rúa Río Sil 9,Cambre,A Coruña,15660,881880339,IES,43.30137,-8.356079,Pública,Non,Si
15027885,IES Lamas de Castelo,Lugar Lamas de Castelo s/n,Carnota,A Coruña,15293,881867200,IES,42.833126,-9.083702,Pública,Non,Si
15027897,CIFP Paseo das Pontes,Rúa San Pedro de Mezonzo 4,A Coruña,A Coruña,15004,881961030,CIFP,43.362698,-8.415876,Pública,Non,Si
15027903,IES Eduardo Blanco Amor,Lugar CORDEDA s/n,Culleredo,A Coruña,15174,881960347,IES,43.318295,-8.379449,Pública,Non,Si
15027915,IES Fin do Camiño,Rúa Voluntariado 18,Fisterra,A Coruña,15155,881960528,IES,42.913567,-9.269669,Pública,Non,Si
15027927,IES Ramón Caamaño,Rúa Manuel Lastres 33,Muxía,A Coruña,15124,881880775,IES,43.102207,-9.217341,Pública,Non,Si
15027939,IES Plurilingüe Maruxa Mallo,As Casillas s/n,Ordes,A Coruña,15680,881880869,IES,43.069496,-8.41351,Pública,Non,Si
15027940,IES As Insuas,Rúa Camiño Real 6,Muros,A Coruña,15259,881867208,IES,42.79066,-9.06304,Pública,Non,Si
15027952,IES Miraflores,Avenida de Miguel Hernandez 4,Oleiros,A Coruña,15173,881880845,IES,43.330814,-8.320094,Pública,Non,Si
15027964,IES de Oroso,Rúa da Tosca 59,Oroso,A Coruña,15888,881866187,IES,42.969986,-8.435302,Pública,Non,Si
15027976,IES Poeta Añón,Rúa Poeta Añón 21,Outes,A Coruña,15230,881866221,IES,42.843327,-8.912231,Pública,Non,Si
15027988,ESMU Municipal da Coruña,Rúa La Torre 67,A Coruña,A Coruña,15002,981226752,ESMU,43.376404,-8.39826,Pública,Non,Non
15028002,CEIP de Pousada Carcacía,Carcacia 230,Padrón,A Coruña,15914,881866265,CEIP,42.74944,-8.597716,Pública,Non,Si
15028038,ESCO Náutico-Pesqueira,Avenida 19 de Febrero 30-34,Ferrol,A Coruña,15405,881938212,ESCO,43.499218,-8.244199,Pública,Non,Non
15032005,CPR Castelao,Rúa Sinforiano Lopez 43,A Coruña,A Coruña,15005,981243814,CPR,43.359314,-8.4084635,Privada,Non,Non
15032066,CPR Tesdai,"Rúa  Rosalía de Castro, 42 A 00",Santiago de Compostela,A Coruña,15706,981597387,CPR,42.875103,-8.550999,Privada,Non,Non
15032078,CMUS Profesional de Arzúa,"Rúa  Santiago, 160 00",Arzúa,A Coruña,15810,981500934,CMUS,42.928196,-8.168056,Pública,Non,Non
15032081,IES de Fene,"O Pazo, 13-15",Fene,A Coruña,15528,881938280,IES,43.461468,-8.183763,Pública,Non,Si
15032091,ESMU Municipal da Capela,"As Neves, s/n",A Capela,A Coruña,15613,981459006,ESMU,43.431355,-8.063562,Pública,Non,Non
15032108,ESMU Municipal A Fábrica,"Rúa  do Inglés, 11 00",Oleiros,A Coruña,15172,981636598,ESMU,43.316334,-8.365198,Pública,Non,Non
15032111,EMUSPR Berenguela,"Praza  de Feixoo, 1 - 1º 00",Santiago de Compostela,A Coruña,15704,981573580,EMUSPR,42.88002,-8.542413,Privada,Non,Non
15032133,ESMU Municipal de Ortigueira,"Rúa Rvdo. Márquez Cortiñas, s/n 00",Ortigueira,A Coruña,15330,981402432,ESMU,43.687252,-7.851019,Pública,Non,Non
15032145,IES de Pastoriza,"Rúa do Lagarto, esq. Furoca s/n",Arteixo,A Coruña,15140,981647517,IES,43.33369,-8.463442,Pública,Non,Si
15032157,CPR Plurilingüe Andaina,Rúa Aguaceiros 21,Culleredo,A Coruña,15174,981138880,CPR,43.321484,-8.402848,Privada,Si,Non
15032169,CPR Tomás Barros,Rúa Ramón María Aller 10 B,A Coruña,A Coruña,15010,981270168,CPR,43.362816,-8.418701,Privada,Non,Non
15032182,ESDA Municipal A Fábrica,"Rúa  do Inglés, 11",Oleiros,A Coruña,15172,981636598,ESDA,43.335457,-8.365149,Pública,Non,Non
15032194,EOI de Santiago de Compostela,Rúa Ulpiano Villanueva 1-2,Santiago de Compostela,A Coruña,15705,881867901,EOI,42.8928,-8.543636,Pública,Non,Si
15032200,CMUS Profesional de Ribeira Enrique Paisal,Rúa Miguel Rodriguez Bautista 21,Ribeira,A Coruña,15960,981873204,CMUS,42.557198,-8.994745,Pública,Non,Non
15032224,CEMU Elemental Alca,Lugar Biduído de Arriba 36,Ames,A Coruña,15895,981531103,CEMU,42.846436,-8.600529,Privada,Non,Non
15032236,CPR O Raio Verde,"Rúa ANGUSTIAS, 31 - BAIXO",Santiago de Compostela,A Coruña,15703,981577797,CPR,42.883076,-8.534881,Privada,Non,Non
15032248,CPR Vagalume,"Rúa  Oseiro, 13",Arteixo,A Coruña,15142,981601351,CPR,43.318665,-8.488683,Privada,Non,Non
15032251,CRA Ponte da Pedra,"Rúa Vázquez de Parga 119 bloque 2, 1ºD",Carballo,A Coruña,15100,981703403,CRA,43.219334,-8.687846,Pública,Non,Si
15032261,ESMU Municipal  de Ordes,Ordes (Santa María),Ordes,A Coruña,15680,981682312,ESMU,43.07817,-8.410812,Pública,Non,Non
15032273,ESMU Municipal da Baña,Rúa TADELLE 5,A Baña,A Coruña,15863,,ESMU,42.96135,-8.759016,Pública,Non,Non
15032297,CEDA Liceo la Paz,Rúa Sebastián Martónez Risco 12,A Coruña,A Coruña,15009,,CEDA,43.341507,-8.402049,Privada,Non,Non
15032303,CMUS Profesional da Coruña,Praza DO CONSERVATORIO s/n,A Coruña,A Coruña,15011,981276800,CMUS,43.370594,-8.422008,Pública,Non,Si
15032315,ESMU Municipal de Santiago de Compostela,Rúa Proxecto Vagalume 2,Santiago de Compostela,A Coruña,15704,,ESMU,42.885365,-8.535808,Pública,Non,Non
15032327,CEE O Pedroso,Rúa SAN PAIO s/n,Santiago de Compostela,A Coruña,15898,981561972,CEE,42.88469,-8.557499,Pública,Non,Si
