"ID","Y","X"
15000016,-8.28658,43.229183
15000107,-8.657342,42.867485
15000132,-8.600729,42.846325
15000338,-8.246173,43.429363
15000363,-8.510333,43.30694
15000545,-8.40064,43.35442
15000569,-8.447119,43.345356
15000600,-8.164634,42.926342
15000612,-8.15723,42.929714
15001033,-8.278413,43.30938
15001070,-8.22662,43.319736
15001112,-8.204856,43.270885
15001124,-8.218994,43.281532
15001136,-8.217094,43.28249
15001148,-8.215625,43.283478
15001151,-8.426632,42.779552
15001239,-8.131348,43.003185
15001367,-8.85969,42.638462
15001461,-8.903709,42.639126
15001471,-8.891673,42.642673
15001616,-8.906973,42.63812
15001665,-8.416602,42.825375
15001744,-8.675734,42.850037
15001811,-8.659102,42.826664
15001847,-8.677074,42.862
15001926,-8.930818,43.219387
15002025,-8.172353,43.425827
15002050,-9.182803,43.133926
15002062,-9.090256,43.179108
15002086,-9.122954,43.1381
15002165,-8.345978,43.291714
15002566,-8.694483,43.225136
15002578,-8.684172,43.2191
15002581,-8.685111,43.217155
15002591,-8.704391,43.21229
15002670,-8.691471,43.162193
15002761,-9.087211,42.820587
15002852,-9.135163,42.894123
15003017,-8.357785,43.249687
15003054,-8.054523,43.65938
15003200,-9.1863785,42.95155
15003212,-9.186319,42.957993
15003224,-9.186516,42.955025
15003248,-9.191995,42.958527
15003376,-8.477755,43.18873
15003534,-7.9501,43.606693
15003789,-9.191094,42.93618
15003807,-8.803804,43.157658
15003881,-8.735837,43.19042
15004009,-8.429469,43.371624
15004010,-8.429389,43.372772
15004046,-8.418521,43.364555
15004061,-8.400159,43.37622
15004083,-8.413956,43.36688
15004101,-8.400436,43.336304
15004125,-8.395126,43.34068
15004198,-8.404175,43.330364
15004204,-8.421697,43.372448
15004231,-8.413227,43.35214
15004265,-8.402298,43.341568
15004356,-8.413798,43.36476
15004435,-8.413782,43.36391
15004460,-8.400874,43.331562
15004526,-8.404995,43.328648
15004538,-8.402607,43.37348
15004642,-8.388893,43.335567
15004654,-8.391329,43.370193
15004745,-8.391661,43.351505
15004770,-8.415335,43.36999
15004782,-8.396196,43.37347
15004794,-8.413932,43.36622
15004861,-8.416363,43.366154
15004964,-8.405142,43.355515
15004976,-8.398844,43.376465
15004988,-8.407212,43.36862
15004991,-8.393195,43.371315
15005002,-8.403661,43.347878
15005014,-8.4244,43.36339
15005026,-8.405593,43.37972
15005038,-8.421216,43.36954
15005211,-8.420801,43.370003
15005221,-8.408111,43.36831
15005233,-8.425084,43.362694
15005245,-8.400689,43.349415
15005257,-8.399839,43.373623
15005269,-8.418542,43.350506
15005270,-8.411273,43.358734
15005300,-8.411054,43.349487
15005336,-8.403603,43.347874
15005361,-8.413183,43.35846
15005385,-8.384081,43.34393
15005397,-8.40585,43.35558
15005488,-8.394956,43.370358
15005506,-8.394211,43.374954
15005518,-8.404047,43.347214
15005521,-8.404605,43.3461
15005579,-8.410672,43.345146
15005701,-8.427844,43.366093
15005749,-8.376646,43.317894
15005828,-8.376939,43.289112
15005853,-8.382051,43.32826
15005877,-8.034488,43.140385
15005932,-8.145381,43.12222
15006353,-8.169698,43.47118
15006365,-8.146786,43.47756
15006390,-8.241409,43.48132
15006420,-8.201057,43.482475
15006432,-8.238716,43.482723
15006456,-8.216668,43.49089
15006481,-8.229146,43.484497
15006501,-8.236393,43.484493
15006511,-8.205215,43.485237
15006547,-8.241736,43.482468
15006596,-8.2101555,43.560513
15006602,-8.226131,43.49002
15006638,-8.226855,43.48943
15006663,-8.239199,43.484425
15006687,-8.220569,43.50658
15006699,-8.225192,43.48733
15006729,-8.214351,43.510532
15006730,-8.222199,43.485897
15006742,-8.22876,43.487774
15006754,-8.222827,43.486702
15006778,-8.202045,43.481163
15006791,-8.225016,43.479713
15006845,-8.225364,43.480732
15006882,-8.235986,43.49623
15007230,-9.262226,42.903774
15007242,-9.265121,42.906452
15007266,-9.234487,42.943996
15007400,-8.255402,43.020245
15007621,-8.993254,43.21452
15007655,-8.606031,43.320366
15007886,-8.593647,43.24672
15008039,-8.85692,42.773563
15008301,-8.833405,43.323727
15008398,-7.704881,43.741764
15008490,-8.912584,42.997288
15008659,-8.95352,42.905746
15008714,-8.992678,42.936085
15008805,-8.014504,42.916878
15008817,-8.011087,42.917747
15008982,-8.30845,43.108734
15009007,-8.303952,43.136475
15009071,-8.207645,43.35178
15009081,-8.016366,43.566097
15009241,-8.045914,43.303528
15009391,-8.219297,43.446617
15009445,-8.253028,43.456177
15009470,-8.249745,43.458588
15009597,-9.174689,43.038464
15009676,-9.215475,43.10161
15009810,-8.980959,42.78778
15009998,-9.065308,42.78925
15010058,-8.188328,43.525887
15010071,-8.157864,43.515434
15010137,-8.205451,43.499924
15010162,-8.156421,43.515686
15010204,-8.199631,43.493744
15010307,-8.157541,43.49882
15010575,-8.734538,42.91156
15010681,-8.8943405,42.802364
15010769,-8.891399,42.77626
15010794,-8.874014,42.793827
15010812,-8.888571,42.784306
15010848,-8.894044,42.77555
15011002,-8.327036,43.3267
15011026,-8.324424,43.331085
15011105,-8.380702,43.14966
15011336,-8.4018,43.073227
15011567,-8.43841,42.96834
15011661,-7.8743057,43.733437
15011981,-7.850413,43.6869
15012420,-8.186152,43.21543
15012626,-8.6572,42.727776
15012717,-8.665976,42.742836
15012730,-8.6634,42.737114
15012742,-8.66406,42.736435
15013059,-8.933745,42.59402
15013072,-8.943877,42.616657
15013163,-8.9373455,42.604256
15013199,-8.940317,42.597767
15013230,-8.955247,43.268276
15013254,-8.460625,42.822548
15013291,-8.893363,43.240246
15013412,-8.141921,43.409782
15013461,-8.165578,43.404137
15013497,-8.163099,43.404587
15013503,-8.173554,43.408592
15013591,-7.8530545,43.449207
15013643,-7.852854,43.45645
15013761,-9.01609,42.69853
15013783,-9.0290985,42.65465
15013898,-9.0501175,42.607918
15013928,-8.9671135,42.727375
15013977,-9.006911,42.72233
15013989,-9.025372,42.67588
15014180,-8.816982,42.652733
15014261,-9.014134,42.53081
15014271,-9.010248,42.580967
15014295,-9.012764,42.540417
15014349,-8.996193,42.53291
15014416,-9.005806,42.606056
15014465,-8.964114,42.580696
15014520,-8.996644,42.55432
15014532,-9.001236,42.55292
15014544,-8.994348,42.556652
15014556,-8.981806,42.569416
15014568,-8.984499,42.56865
15014571,-8.987739,42.566956
15014738,-8.692546,42.764404
15014799,-8.737693,42.82802
