Código,Nome,Enderezo,Concello,Provincia,CP,Telefono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
15004265,CPR Pluriling&uuml;e Liceo La Paz,Avenida Sebasti&aacute;n Mat&iacute;nez Risco 12,A Coru&ntilde;a,A Coru&ntilde;a,15009,981286299,CPR,43.341568,-8.402298,Privada,Si,Non
15004356,CPR Nebrija Torre de H&eacute;rcules,Praza &aacute;ngel Ron Fraga (M&eacute;dico) 9,A Coru&ntilde;a,A Coru&ntilde;a,15004,981259006,CPR,43.36476,-8.413798,Privada,Si,Non
15004435,CPR Pluriling&uuml;e Padres Franciscanos,Avenida Calvo Sotelo 41,A Coru&ntilde;a,A Coru&ntilde;a,15004,981262606,CPR,43.36391,-8.413782,Privada,Si,Non
15004460,CPR Pluriling&uuml;e Pe&ntilde;arredonda,R&uacute;a Ginebra 3,A Coru&ntilde;a,A Coru&ntilde;a,15009,981286533,CPR,43.331562,-8.400874,Privada,Si,Non
15004526,CPR Pluriling&uuml;e Sagrado Coraz&oacute;n,R&uacute;a Mª Ana Mogas Fontcuberta 9,A Coru&ntilde;a,A Coru&ntilde;a,15008,981293250,CPR,43.328648,-8.404995,Privada,Si,Non
15004538,CPR Pluriling&uuml;e Salesiano San Juan Bosco,R&uacute;a Hospital 14,A Coru&ntilde;a,A Coru&ntilde;a,15003,981203550,CPR,43.37348,-8.402607,Privada,Si,Non
15004642,CPR Pluriling&uuml;e Santa Mar&iacute;a del Mar,Avenida do Pasaxe 69,A Coru&ntilde;a,A Coru&ntilde;a,15006,981283000,CPR,43.335567,-8.388893,Privada,Si,Non
15004654,CPR Pluriling&uuml;e Santo Domingo,Praza de Santo Domingo 1,A Coru&ntilde;a,A Coru&ntilde;a,15001,981205850,CPR,43.370193,-8.391329,Privada,Si,Non
15004745,CEIP Pluriling&uuml;e Anxo da Garda,"R&uacute;a Monte das Moas, 8-10",A Coru&ntilde;a,A Coru&ntilde;a,15009,881960778,CEIP,43.351505,-8.391661,P&uacute;blica,Non,Si
15004770,CPR Pluriling&uuml;e Esclavas Sagrado Coraz&oacute;n de Jes&uacute;s,R&uacute;a Paseo de Ronda 57,A Coru&ntilde;a,A Coru&ntilde;a,15011,981251800,CPR,43.36999,-8.415335,Privada,Si,Non
15004782,CPR Pluriling&uuml;e La Grande Obra de Atocha,R&uacute;a BALTASAR PARDAL VIDAL 1,A Coru&ntilde;a,A Coru&ntilde;a,15001,981222542,CPR,43.37347,-8.396196,Privada,Si,Non
15004794,CPR Pluriling&uuml;e Fogar de Santa Margarida,R&uacute;a VALLE INCLAN 3,A Coru&ntilde;a,A Coru&ntilde;a,15011,981251090,CPR,43.36622,-8.413932,Privada,Si,Non
15004861,CEEPR Nosa Se&ntilde;ora De Lourdes - Aspronaga,R&uacute;a Perez Lugin 10,A Coru&ntilde;a,A Coru&ntilde;a,15011,981251188,CEEPR,43.366154,-8.416363,Privada,Si,Non
15004964,CEIP Pluriling&uuml;e Concepci&oacute;n Arenal,R&uacute;a Marques de Amboage 2,A Coru&ntilde;a,A Coru&ntilde;a,15006,881880064,CEIP,43.355515,-8.405142,P&uacute;blica,Non,Si
15004976,CEIP Curros Enr&iacute;quez,R&uacute;a Campo de Marte s/n,A Coru&ntilde;a,A Coru&ntilde;a,15002,881961090,CEIP,43.376465,-8.398844,P&uacute;blica,Non,Si
15004988,CEIP Eusebio da Guarda,Praza de Pontevedra 21,A Coru&ntilde;a,A Coru&ntilde;a,15003,981229264,CEIP,43.36862,-8.407212,P&uacute;blica,Non,Si
15004991,CEIP Cidade Vella,R&uacute;a Ferrerias 1,A Coru&ntilde;a,A Coru&ntilde;a,15001,881960701,CEIP,43.371315,-8.393195,P&uacute;blica,Non,Si
15005002,IES Ram&oacute;n Otero Pedrayo,Avenida Monelos 10 A,A Coru&ntilde;a,A Coru&ntilde;a,15008,881960960,IES,43.347878,-8.403661,P&uacute;blica,Non,Si
15005014,CEIP Raquel Camacho,R&uacute;a ANTONIO PEDREIRA RIOS 13-15,A Coru&ntilde;a,A Coru&ntilde;a,15010,981257154,CEIP,43.36339,-8.4244,P&uacute;blica,Non,Si
15005026,CEIP Sanjurjo de Carricarte,Praza San Xose Monte Alto s/n,A Coru&ntilde;a,A Coru&ntilde;a,15002,981202120,CEIP,43.37972,-8.405593,P&uacute;blica,Non,Si
15005038,CEIP de Pr&aacute;cticas,Paseo de Ronda 47,A Coru&ntilde;a,A Coru&ntilde;a,15011,981255330,CEIP,43.36954,-8.421216,P&uacute;blica,Non,Si
15005211,IES Salvador de Madariaga,R&uacute;a Paseo de Ronda 49,A Coru&ntilde;a,A Coru&ntilde;a,15011,881960235,IES,43.370003,-8.420801,P&uacute;blica,Non,Si
15005221,IES Pluriling&uuml;e Eusebio da Guarda,Praza de Pontevedra 20,A Coru&ntilde;a,A Coru&ntilde;a,15003,881960060,IES,43.36831,-8.408111,P&uacute;blica,Non,Si
15005233,IES Agra do Orz&aacute;n,R&uacute;a Alcalde Lia&ntilde;o Flores s/n,A Coru&ntilde;a,A Coru&ntilde;a,15010,881880080,IES,43.362694,-8.425084,P&uacute;blica,Non,Si
15005245,IES Monelos,R&uacute;a Montes 62,A Coru&ntilde;a,A Coru&ntilde;a,15009,881880041,IES,43.349415,-8.400689,P&uacute;blica,Non,Si
15005257,IES Ram&oacute;n Men&eacute;ndez Pidal,R&uacute;a Instituto Zalaeta,A Coru&ntilde;a,A Coru&ntilde;a,15002,981203000,IES,43.373623,-8.399839,P&uacute;blica,Non,Si
15005269,IES Urbano Lugr&iacute;s,Avenida de Arteixo,A Coru&ntilde;a,A Coru&ntilde;a,15007,881960715,IES,43.350506,-8.418542,P&uacute;blica,Non,Si
15005270,CPR Afundaci&oacute;n A Coru&ntilde;a,R&uacute;a Ribadavia 4,A Coru&ntilde;a,A Coru&ntilde;a,15007,881963018,CPR,43.358734,-8.411273,Privada,Si,Non
15005300,IES Rafael Puga Ram&oacute;n,R&uacute;a Leopoldo Alas Clar&iacute;n 4,A Coru&ntilde;a,A Coru&ntilde;a,15008,981080188,IES,43.349487,-8.411054,P&uacute;blica,Non,Non
15005336,CEE Nosa Se&ntilde;ora do Rosario,R&uacute;a Ronda Camilo Jose Cela 2,A Coru&ntilde;a,A Coru&ntilde;a,15008,881961070,CEE,43.347874,-8.403603,P&uacute;blica,Non,Si
15005361,CEIP Rosal&iacute;a de Castro,R&uacute;a Rio Avia s/n,A Coru&ntilde;a,A Coru&ntilde;a,15007,881960245,CEIP,43.35846,-8.413183,P&uacute;blica,Non,Si
15005385,CEE Mar&iacute;a Mari&ntilde;o,R&uacute;a As Xubias 15,A Coru&ntilde;a,A Coru&ntilde;a,15006,981174273,CEE,43.34393,-8.384081,P&uacute;blica,Non,Si
15005397,IES Fernando Wirtz Su&aacute;rez,R&uacute;a Cabaleiros 1,A Coru&ntilde;a,A Coru&ntilde;a,15006,881960260,IES,43.35558,-8.40585,P&uacute;blica,Non,Si
15005488,CPR L&oacute;pez y Vicu&ntilde;a,R&uacute;a Santiago 1 bis,A Coru&ntilde;a,A Coru&ntilde;a,15001,981226244,CPR,43.370358,-8.394956,Privada,Si,Non
15005506,EASD Pablo Picasso,Os Pelamios 2,A Coru&ntilde;a,A Coru&ntilde;a,15001,981225396,EASD,43.374954,-8.394211,P&uacute;blica,Non,Si
15005518,CEIP Mar&iacute;a Pita,"Ronda de Camilo Jose Cela, 2  A (Elvi&ntilde;a)",A Coru&ntilde;a,A Coru&ntilde;a,15008,981292235,CEIP,43.347214,-8.404047,P&uacute;blica,Non,Si
15005521,CEIP Ram&oacute;n de la Sagra,Ronda de Camilo Jose Cela 4,A Coru&ntilde;a,A Coru&ntilde;a,15008,981280208,CEIP,43.3461,-8.404605,P&uacute;blica,Non,Si
15005579,IES Pluriling&uuml;e Elvi&ntilde;a,R&uacute;a San Jos&eacute; de Calasanz 6,A Coru&ntilde;a,A Coru&ntilde;a,15008,881961061,IES,43.345146,-8.410672,P&uacute;blica,Non,Si
15005701,CEIP Pluriling&uuml;e San Pedro de Visma,R&uacute;a Lagares 12,A Coru&ntilde;a,A Coru&ntilde;a,15011,881960787,CEIP,43.366093,-8.427844,P&uacute;blica,Non,Si
15005749,IES Universidade Laboral,R&uacute;a Salvador Allende,Culleredo,A Coru&ntilde;a,15670,881960820,IES,43.317894,-8.376646,P&uacute;blica,Non,Si
15005828,CEIP Pluriling&uuml;e de Tarr&iacute;o,"As Paxari&ntilde;as, 72 (Tarrio)",Culleredo,A Coru&ntilde;a,15189,881880556,CEIP,43.289112,-8.376939,P&uacute;blica,Non,Si
15005853,CPR A Ponte Pasaxe,Estrada de Fonteculler 72,Culleredo,A Coru&ntilde;a,15174,981661666,CPR,43.32826,-8.382051,Privada,Si,Non
15005877,CEIP de Teixeiro,R&uacute;a Crego Barbaz&aacute;n 18,Curtis,A Coru&ntilde;a,15310,881880644,CEIP,43.140385,-8.034488,P&uacute;blica,Non,Si
15005932,CEIP de Curtis,R&uacute;a Alcalde Espi&ntilde;eira s/n,Curtis,A Coru&ntilde;a,15310,881880647,CEIP,43.12222,-8.145381,P&uacute;blica,Non,Si
15006353,CPR Pluriling&uuml;e Jorge Juan,Avenida do Tarrio 78,Fene,A Coru&ntilde;a,15500,981340109,CPR,43.47118,-8.169698,Privada,Si,Non
15006365,CEIP de Sillobre,R&uacute;a Mestre Lois Rodr&iacute;guez Calvo s/n,Fene,A Coru&ntilde;a,15509,881930129,CEIP,43.47756,-8.146786,P&uacute;blica,Non,Si
15006390,CPR Pluriling&uuml;e Jes&uacute;s Maestro,R&uacute;a EMILIO ANTON N.9,Ferrol,A Coru&ntilde;a,15401,981351318,CPR,43.48132,-8.241409,Privada,Si,Non
