Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
36013552,CEIP de Seara,"Seara, s/n (Reibon)",Moaña,Pontevedra,36950,886110252,CEIP,42.2885,-8.730387,Pública,Non,Si
36013564,CEIP Plurilingüe Pena de Francia,A Igrexa,Mos,Pontevedra,36416,886110323,CEIP,42.208824,-8.644734,Pública,Non,Si
36013576,CPI Manuel Suárez Marquier,A Cumieira de Arriba s/n,O Rosal,Pontevedra,36770,886120385,CPI,41.930553,-8.837686,Pública,Non,Si
36013588,CPI do Toural,O Toural 34,Vilaboa,Pontevedra,36141,886151766,CPI,42.359856,-8.633811,Pública,Non,Si
36013618,CEIP de Figueiroa,"Avenida de Santiago, 101 (Figueroa)",A Estrada,Pontevedra,36680,886151019,CEIP,42.695446,-8.498662,Pública,Non,Si
36013692,IES Val do Tea,Rúa Feliciano Barrera 15,Ponteareas,Pontevedra,36860,886110513,IES,42.173874,-8.497554,Pública,Non,Si
36013710,EEI do Vao,O Vao,Poio,Pontevedra,36994,986873188,EEI,42.442455,-8.650149,Pública,Non,Si
36013758,IES Laxeiro,Avenida Buenos Aires 71,Lalín,Pontevedra,36500,886151940,IES,42.65719,-8.112083,Pública,Non,Si
36013761,IES A Xunqueira I,Rúa Alexandre Bóveda s/n,Pontevedra,Pontevedra,36005,886159721,IES,42.436775,-8.638258,Pública,Non,Si
36013771,IES Fermín Bouza Brey,Rúa Fontecarmoa 92,Vilagarcía de Arousa,Pontevedra,36600,886151956,IES,42.583626,-8.772015,Pública,Non,Si
36013795,CPR CEBEM,Vía Hispanidade 33,Vigo,Pontevedra,36203,986419899,CPR,42.231808,-8.728656,Privada,Si,Non
36013801,CPR Sonrisas y Lágrimas,Rúa Entrecortiñas 17,A Illa de Arousa,Pontevedra,36626,986551296,CPR,42.560623,-8.86881,Privada,Si,Non
36013837,EEI Fina Casalderrey,Rúa Reino Unido 18,Pontevedra,Pontevedra,36162,886151578,EEI,42.446228,-8.624988,Pública,Non,Si
36013916,EEI de Donramiro,Rúa CAPELA 6,Lalín,Pontevedra,36500,886159566,EEI,42.655582,-8.120522,Pública,Non,Si
36014209,CPR Plurilingüe Andersen Augalonga,Camiño Escola Andersen 28,Vigo,Pontevedra,36315,986469412,CPR,42.161575,-8.72278,Privada,Si,Non
36014234,CPR Plurilingüe Atalaya - Cantabria,Rúa Cantabria 18,Vigo,Pontevedra,36205,986276012,CPR,42.233112,-8.696566,Privada,Si,Non
36014313,CPR Radio ECCA,"Rúa Velazquez Moreno, 9- 1º",Vigo,Pontevedra,36201,986227315,CPR,42.23813,-8.721846,Privada,Non,Non
36014325,EEI Rúa Aragón,Rúa Aragon 114,Vigo,Pontevedra,36206,986374278,EEI,42.236755,-8.70045,Pública,Non,Si
36014362,EEI de Agro-Baredo,"Rúa Cancelo, 37 (O Agro)",Baiona,Pontevedra,36309,886110158,EEI,42.105164,-8.871696,Pública,Non,Si
36014374,EEI O Areal,Rúa Areas 53,Baiona,Pontevedra,36393,886110152,EEI,42.110817,-8.829188,Pública,Non,Si
36014428,IES Val Miñor,Rúa Paradellas 15,Nigrán,Pontevedra,36350,986366050,IES,42.136154,-8.800783,Pública,Non,Si
36014489,CIFP A Xunqueira,Rúa Rafael Areses s/n,Pontevedra,Pontevedra,36155,986873003,CIFP,42.436203,-8.636611,Pública,Non,Si
36014520,IES Pedra da Auga,Rúa Feliciano Barrera s/n,Ponteareas,Pontevedra,36860,886121205,IES,42.17335,-8.49707,Pública,Non,Si
36014544,IES Indalecio Pérez Tizón,Avenida da Concordia s/n,Tui,Pontevedra,36700,886110749,IES,42.050907,-8.64221,Pública,Non,Si
36014556,CEP Plurilingüe Santa Tegra-Teis,Rúa Maceiras 48,Vigo,Pontevedra,36207,886120228,CEP,42.251686,-8.700332,Pública,Non,Si
36014568,CIFP Valentín Paz Andrade,Estrada Vella de Madrid 160,Vigo,Pontevedra,36214,886110857,CIFP,42.21827,-8.680373,Pública,Non,Si
36014601,IES Álvaro Cunqueiro,Rúa O Porriño,Vigo,Pontevedra,36209,886111181,IES,42.21602,-8.752894,Pública,Non,Si
36014611,CEIP A Lama,"Avenida do Concello, (A Pedreira) 24",A Lama,Pontevedra,36830,886159065,CEIP,42.396618,-8.443132,Pública,Non,Si
36014672,CEIP Serra-Vincios,Lugar A Serra s/n,Gondomar,Pontevedra,36316,886120042,CEIP,42.14153,-8.735129,Pública,Non,Si
36014684,EEI de Outeiro,Nespereira (San Martiño),Pazos de Borbén,Pontevedra,36817,986498003,EEI,42.254208,-8.581697,Pública,Non,Si
36014726,EEI A Marisma,Rúa A Marisma 3,Redondela,Pontevedra,36800,886110657,EEI,42.288982,-8.610301,Pública,Non,Si
36014738,CEIP de Leirado,Lugar Chan,Salvaterra de Miño,Pontevedra,36457,986657537,CEIP,42.132004,-8.461264,Pública,Non,Si
36014763,EEI de Romariz,Soutomaior (San Salvador),Soutomaior,Pontevedra,36691,986705568,EEI,42.341667,-8.566123,Pública,Non,Si
36014775,CEIP Plurilingüe de Guillarei,A Gandara,Tui,Pontevedra,36720,886110801,CEIP,42.076653,-8.62411,Pública,Non,Si
36014787,EEI Monte da Guía,Rúa Irmáns Misioneros dos enfermos pobres 37,Vigo,Pontevedra,36207,886120960,EEI,42.25306,-8.698664,Pública,Non,Si
36014799,EEI Vila Laura,Rúa Hispanidad 86,Vigo,Pontevedra,36203,986471410,EEI,42.22605,-8.726911,Pública,Non,Si
36014817,CEIP Plurilingüe da Igrexa-Chapela,Barrio da Igrexa s/n,Redondela,Pontevedra,36320,886110668,CEIP,42.264194,-8.66898,Pública,Non,Si
36014854,CEIP Plurilingüe de Oca,Oca (Santo Estevo),A Estrada,Pontevedra,36685,886151050,CEIP,42.74801,-8.3847885,Pública,Non,Si
36014866,CEIP Manuel Villar Paramá,Outeiro de Vea 6,A Estrada,Pontevedra,36683,886151055,CEIP,42.735237,-8.541983,Pública,Non,Si
36014878,CEIP Plurilingüe de Conmeniño,Meloxo s/n,O Grove,Pontevedra,36989,886151430,CEIP,42.487354,-8.874421,Pública,Non,Si
36014881,CEIP Plurilingüe Alexandre Bóveda,Rúa ALEXANDRE BÓVEDA 12,Redondela,Pontevedra,36320,886120405,CEIP,42.270866,-8.664884,Pública,Non,Si
36014921,CEIP de Fontes-Baíña,As Fontes,Baiona,Pontevedra,36308,886151081,CEIP,42.1063,-8.858984,Pública,Non,Si
36014945,CEIP de Valeixe,As Touzosas,A Cañiza,Pontevedra,36880,886110054,CEIP,42.167934,-8.27916,Pública,Non,Si
36014970,CEIP Plurilingüe Varela Buxán,Núcleo Cercio,Lalín,Pontevedra,36596,886151263,CEIP,42.754322,-8.12343,Pública,Non,Si
36014982,EEI O Grupo,Rúa CONCEPCIÓN ARENAL 40,Marín,Pontevedra,36900,986883151,EEI,42.39174,-8.697536,Pública,Non,Si
36014994,EEI Concepción Crespo Rivas,Paseo de Valle Inclán s/n,Pontevedra,Pontevedra,36001,886151611,EEI,42.427048,-8.645345,Pública,Non,Si
36015007,CEIP de Cedeira,Estrada do Cruceiro 75,Redondela,Pontevedra,36812,886110671,CEIP,42.276722,-8.624953,Pública,Non,Si
36015020,CEIP de Randufe,As Chans do Carrasco s/n,Tui,Pontevedra,36713,886110808,CEIP,42.05536,-8.667846,Pública,Non,Si
